human_rights_un_fin_jf_64kb_0001	Yhdistyneiden kansakuntien kolmas yleiskokous hyväksyi ja julkisti ihmisoikeuksien yleismaailmallisen julistuksen joulukuun 10.
human_rights_un_fin_jf_64kb_0002	päi-vänä 1948.
human_rights_un_fin_jf_64kb_0003	Julistuksen hyväksymisen puolesta äänesti 48 maata.
human_rights_un_fin_jf_64kb_0004	Mikään maa ei äänestänytvastaan.
human_rights_un_fin_jf_64kb_0005	Kahdeksan maata pidättyi äänestämästä.
human_rights_un_fin_jf_64kb_0006	Välittömästi tämän historiallisen tapahtuman jälkeen yleiskokous kehotti kaikkiajäsenmaita julkaisemaan julistuksen tekstin.
human_rights_un_fin_jf_64kb_0007	Niitä pyydettiin "levittämään jatekemään sitä tunnetuksi, lukemaan ja selittämään sitä ennen kaikkea kouluissaja muissa oppilaitoksissa eri maiden ja alueiden poliittisista oloista riippumatta".
human_rights_un_fin_jf_64kb_0008	Julistuksen virallinen teksti on saatavissa YK:n kuudella virallisella kielellä:arabiaksi, englanniksi, espanjaksi, kiinaksi, ranskaksi ja venäjäksi.
human_rights_un_fin_jf_64kb_0009	Myös monet
human_rights_un_fin_jf_64kb_0010	YK:n jäsenmaat ovat noudattaneet yleiskokouksen kehotusta ja kääntäneetjulistuksen omalle kielelleen.
human_rights_un_fin_jf_64kb_0011	Seuraavilla sivuilla oleva käännös on Suomenhallituksen vahvistama.
human_rights_un_fin_jf_64kb_0012	Julistuksen ilmaiskappaleita on saatavana YK:n Kööpenhaminassa sijaitsevastapohjoismaisesta tiedotustoimistosta YK:n virallisilla kielillä, pohjoismaisilla kielilläja rajallinen määrä muilla kielillä.
human_rights_un_fin_jf_64kb_0013	IHMISOIKEUKSIEN YLEISMAAILMALLINEN JULISTUS
human_rights_un_fin_jf_64kb_0014	IHMISOIKEUKSIEN YLEISMAAILMALLINEN JULISTUS
human_rights_un_fin_jf_64kb_0015	IHMISOIKEUKSIEN YLEISMAAILMALLINEN JULISTUS
human_rights_un_fin_jf_64kb_0016	IHMISOIKEUKSIEN YLEISMAAILMALLINEN JULISTUS
human_rights_un_fin_jf_64kb_0017	JOHDANTO
human_rights_un_fin_jf_64kb_0018	JOHDANTO
human_rights_un_fin_jf_64kb_0019	JOHDANTO
human_rights_un_fin_jf_64kb_0020	JOHDANTO
human_rights_un_fin_jf_64kb_0021	Kun ihmiskunnan kaikkien jäsenten luonnollisen arvon ja heidän yhtäläisten jaluovuttamattomien oikeuksiensa tunnustaminen on vapauden,oikeudenmukaisuuden ja rauhan perustana maailmassa,kun ihmisoikeuksia on väheksytty tai ne on jätetty huomiota vaille, on tapahtunutraakalaistekoja, jotka ovat järkyttäneet ihmiskunnan omaatuntoa, ja kun kansojenkorkeimmaksi päämääräksi on julistettu sellaisen maailman luominen, missäihmiset voivat vapaasti nauttia sanan ja uskon vapautta sekä elää vapainapelosta ja puutteesta,kun on välttämätöntä, että ihmisoikeudet turvataan oikeusjärjestyksellä, jottaihmisten ei olisi pakko viimeisenä keinona nousta kapinaan pakkovaltaa ja sortoavastaan,kun on tähdellistä edistää ystävällisten suhteiden kehittymistä kansojen välille,kun Yhdistyneiden Kansakuntien kansat ovat peruskirjassa vahvistaneet uskonsaihmisten perusoikeuksiin, ihmisyksilön arvoon ja merkitykseen sekä miesten janaisten yhtäläisiin oikeuksiin ja kun ne ovat ilmaisseet vakaan tahtonsa edistääsosiaalista kehitystä ja parempien elämisen ehtojen aikaansaamistavapaammissa oloissa,kun jäsenvaltiot ovat sitoutuneet edistämään, yhteistoiminnassa Yhdistyneet
human_rights_un_fin_jf_64kb_0022	Kansakunnat -järjestön kanssa, ihmisoikeuksien ja perusvapauksien yleistäkunnioittamista ja noudattamista, ja,kun yhteinen käsitys näiden oikeuksien ja vapauksien sisällöstä on mitä tärkeintämän sitoumuksen täydelliselle toteuttamiselle,
human_rights_un_fin_jf_64kb_0023	Niin sen vuoksi
