human_rights_un_oc_am_64kb_0001	Declaracioun universalo di dre de l'ome
human_rights_un_oc_am_64kb_0002	Article 1
human_rights_un_oc_am_64kb_0003	Tóuti lis uman naisson libre.
human_rights_un_oc_am_64kb_0004	Soun egau pèrla digneta e li dre.
human_rights_un_oc_am_64kb_0005	An tóuti uno resoun e uno counsciènci.
human_rights_un_oc_am_64kb_0006	Se dèvon tenifreirenau lis un 'mé lis autre.
human_rights_un_oc_am_64kb_0007	Article 2
human_rights_un_oc_am_64kb_0008	Tout èsse uman a tóuti li liberta e tóuti lidre prouclama dins aquesto declaracioun, sènso ges li destria pèr de raço, decoulour, de sèisse, de lengo, de religioun, d'idèio poulitico o d'autro meno,d'óurigino naciounalo o soucialo, de richesso, de neissènço o d'àutricoundicioun.
human_rights_un_oc_am_64kb_0009	En mai, se fara ges de destriamen foundasubre l'estatut pouliti, amenistratiéu o internaciounau dóu païs o de l'endréde la persouno, fugue aquel endré independènt o sa soubeiraneta countourrouladoo limitado d'un biais o d'un autre.
human_rights_un_oc_am_64kb_0010	Article 3
human_rights_un_oc_am_64kb_0011	Cado persouno a dre à la vido, à la liberta,e à la segureta.
human_rights_un_oc_am_64kb_0012	Article 4
human_rights_un_oc_am_64kb_0013	Degun sara soumés à l'esclavitudo o à laservitudo.
human_rights_un_oc_am_64kb_0014	Es enebi en plen de teni d'esclau o de n'en faire coumèrci.
human_rights_un_oc_am_64kb_0015	Article 5
human_rights_un_oc_am_64kb_0016	Degun sara soumés à la tourturo nimai à depeno o de tratamen crudèu, inuman o desgradant.
human_rights_un_oc_am_64kb_0017	Article 6
human_rights_un_oc_am_64kb_0018	Cadun a dre à la recouneissènço de sapersounalita juridico de pertout.
human_rights_un_oc_am_64kb_0019	Article 7
human_rights_un_oc_am_64kb_0020	Tóuti li gènt soun egau davans la lèi.
human_rights_un_oc_am_64kb_0021	Memamen an tóuti dre d'èstre apara pèr la lèi sènso ges de destriamen.
human_rights_un_oc_am_64kb_0022	An tóutidre d'èstre apara parié contro tout ço que vióularié aquesto declaracioun o quebutarié à la vióula.
human_rights_un_oc_am_64kb_0023	Article 8
human_rights_un_oc_am_64kb_0024	Touto persouno a lou dre de s'apela proche litribunau naciounau coumpetènt.
human_rights_un_oc_am_64kb_0025	Aquéli ié dèvon l'eficàci e la dèvon defèndrecontro lis ate que violon li dre foundamentau recouneigu pèr la lèi e lacoustitucioun.
human_rights_un_oc_am_64kb_0026	Article 9
human_rights_un_oc_am_64kb_0027	Degun sara arresta, embarra vo eisila pèrarbitràri.
human_rights_un_oc_am_64kb_0028	Article 10
human_rights_un_oc_am_64kb_0029	Tóuti li persouno an lou meme dre de pleidejapublicamen sa defènso davans un tribunau que lis escoutara em'un esperitd'independènci e de justiço, que se prounounciara pièi siegue toucant si dre esis óubligacioun, siegue toucant la foundamento de touto acusacioun contro eloen matèri penalo.
human_rights_un_oc_am_64kb_0030	Article 11
human_rights_un_oc_am_64kb_0031	Touto persouno acusado d'un ate fautible es regardado coume innoucènto jusco que fugue legalamen establido sa coupableta pèr un proucès publi.
human_rights_un_oc_am_64kb_0032	Dins aquéu proucès, tóuti li garantido necito à sa defènso ié saran estado pourgido.
human_rights_un_oc_am_64kb_0033	Res sara coundana pèr d'ate o d'óublit qu'èron pas counsidera fautible segound lou dre naciounau o internaciounau quouro fuguèron fa.
human_rights_un_oc_am_64kb_0034	Mai qu'acò, se pòu pas coundana li gènt en de peno mai forto d'aquéli que se poudien aplica quouro l'ate fautible fuguè coumés.
human_rights_un_oc_am_64kb_0035	Article 12
human_rights_un_oc_am_64kb_0036	Se pòu pas sènso resoun valablo bouta lou nasdins la vido privado, la famiho, l'oustau o lou courrié di gènt.
human_rights_un_oc_am_64kb_0037	Se pòu nimaiataca soun ounour e sa reputacioun.
human_rights_un_oc_am_64kb_0038	Touto persouno a lou dre d'èstre aparadopèr la lèi contro aquéli malafacho.
human_rights_un_oc_am_64kb_0039	Article 13
human_rights_un_oc_am_64kb_0040	Cadun a lou dre d'ana d'ounte vòu, de planta caviho d'ounte vòu dedins li raro d'un Estat.
human_rights_un_oc_am_64kb_0041	Cadun a lou dre de quita un païs e lou siéu tambèn.
human_rights_un_oc_am_64kb_0042	Cadun a lou dre de s'entourna au païs siéu.
human_rights_un_oc_am_64kb_0043	Article 14
human_rights_un_oc_am_64kb_0044	Quouro secutado, touto persouno a lou dre de cerca un recate dins d'àutri païs e de lou prouficha.
human_rights_un_oc_am_64kb_0045	Pòu pas s'apela d'aqueste dre uno persouno perseguido de-bon pèr un crime de dre coumun o d'ate countràri i principe emai i toco di Nacioun Unido.
human_rights_un_oc_am_64kb_0046	Article 15
human_rights_un_oc_am_64kb_0047	Cadun a dre à uno naciounalita.
human_rights_un_oc_am_64kb_0048	Se pòu leva en res pèr arbitràri sa naciounalita o lou dre de la chanja.
human_rights_un_oc_am_64kb_0049	Article 16
human_rights_un_oc_am_64kb_0050	L'ome e la femo, s'un cop soun maridadou, an lou dre de se marida e de founda uno famiho, sènso ges d'empache pèr encauso de raço, de naciounalita o de religioun.
human_rights_un_oc_am_64kb_0051	Li dre dis ome e di femo soun parié raport au maridage, que siegue dóu tèms que soun marida o quouro se divorçon.
human_rights_un_oc_am_64kb_0052	Lou maridage se pòu faire soulamen se li nòvi se volon de-bon.
human_rights_un_oc_am_64kb_0053	La famiho es la foundamento naturalo de la soucieta.
human_rights_un_oc_am_64kb_0054	A dre d'èstre aparado pèr la soucieta e l'Estat.
human_rights_un_oc_am_64kb_0055	Article 17
human_rights_un_oc_am_64kb_0056	Touto persouno, souleto o coutrìo 'mé d'àutri gènt, a dre à la prouprieta.
human_rights_un_oc_am_64kb_0057	Degun sara despoussedi de soun bèn pèr arbitràri.
human_rights_un_oc_am_64kb_0058	Article 18
human_rights_un_oc_am_64kb_0059	Touto persouno es libro de sa pensado, de sacounsciènci e de sa religioun.
human_rights_un_oc_am_64kb_0060	En aquéu dre ié caup la liberta de cambia dereligioun o de crèire, e tambèn de manifesta sa religioun o si crèire, soulet o'mé d'àutri gènt, dins la vido publico o privado, pèr l'ensignamen, lis usage,lou culte emai l'acoumplissamen di rite.
human_rights_un_oc_am_64kb_0061	Article 19
human_rights_un_oc_am_64kb_0062	Tout persouno a dre à la liberta d'óupinioune d'espressioun.
human_rights_un_oc_am_64kb_0063	En aquéu dre ié caup de rèn se capita carcagna pèr encauso deço que pensas, e tambèn de cerca, reçaupre e espandi lis enfourmacioun e lisidèio, coume que siegue lou mejan d'espressioun, sènso empache à respèt difrountiero.
human_rights_un_oc_am_64kb_0064	Article 20
human_rights_un_oc_am_64kb_0065	Tóuti li gènt an lou dre de s'acampa e de s'assoucia dins un esperit de pas.
human_rights_un_oc_am_64kb_0066	Degun pòu èstre óublija de faire partido d'un groupamen.
human_rights_un_oc_am_64kb_0067	Article 21
human_rights_un_oc_am_64kb_0068	Touto persouno a lou dre de partecipa au gouvernamen de soun païs, siegue direitamen siegue depèr de representant chausi libramen.
human_rights_un_oc_am_64kb_0069	Touto persouno a lou dre d'óuteni de founcioun publico de soun païs dins de coundicioun d'egalita.
human_rights_un_oc_am_64kb_0070	La voulounta dóu pople es la foundamento de l'autourita di poudé publi.
