human_rights_un_dut_mb_64kb_0001	UNIVERSELE VERKLARING VAN DE RECHTEN VAN DE MENS
human_rights_un_dut_mb_64kb_0002	Preambule
human_rights_un_dut_mb_64kb_0003	Overwegende, dat erkenning van de inherente waardigheid en van de gelijke en onvervreemdbare rechten van alle leden van de mensengemeenschap grondslag is voor de vrijheid, gerechtigheid en vrede in de wereld;
human_rights_un_dut_mb_64kb_0004	Overwegende, dat terzijdestelling van en minachting voor de rechten van de mens geleid hebben tot barbaarse handelingen, die het geweten van de mensheid geweld hebben aangedaan en dat de komst van een wereld, waarin de mensen vrijheid van meningsuiting en geloof zullen genieten, en vrij zullen zijn van vrees en gebrek, is verkondigd als het hoogste ideaal van iedere mens;
human_rights_un_dut_mb_64kb_0005	Overwegende, dat het van het grootste belang is, dat de rechten van de mens beschermd worden door de suprematie van het recht, opdat de mens niet gedwongen worde om in laatste instantie zijn toevlucht te nemen tot opstand tegen tyrannie en onderdrukking;
human_rights_un_dut_mb_64kb_0006	Overwegende, dat het van het grootste belang is om de ontwikkeling van vriendschappelijke betrekkingen tussen de naties te bevorderen;
human_rights_un_dut_mb_64kb_0007	Overwegende, dat de volkeren van de Verenigde Naties in het Handvest hun vertrouwen in de fundamentele rechten van de mens, in de waardigheid en de waarde van de mens en in de gelijke rechten van mannen en vrouwen opnieuw hebben bevestigd, en besloten hebben om sociale vooruitgang en een hogere levensstandaard in groter vrijheid te bevorderen;
human_rights_un_dut_mb_64kb_0008	Overwegende, dat de Staten, welke Lid zijn van de Verenigde Naties, zich plechtig verbonden hebben om, in samenwerking met de Organisatie van de Verenigde Naties, overal de eerbied voor en inachtneming van de rechten van de mens en de fundamentele vrijheden te bevorderen;
human_rights_un_dut_mb_64kb_0009	Overwegende, dat het van het grootste belang is voor de volledige nakoming van deze verbintenis, dat een ieder begrip hebbe voor deze rechten en vrijheden;
human_rights_un_dut_mb_64kb_0010	Op grond daarvan proclameert de Algemene Vergadering deze Universele Verklaring van de Rechten van de Mens als het gemeenschappelijk door alle volkeren en alle naties te bereiken ideaal, opdat ieder individu en elk orgaan van de gemeenschap, met deze verklaring voortdurend voor ogen, er naar zal streven door onderwijs en opvoeding de eerbied voor deze rechten en vrijheden te bevorderen, en door vooruitstrevende maatregelen, op nationaal en internationaal terrein, deze rechten algemeen en daadwerkelijk te doen erkennen en toepassen, zowel onder de volkeren van Staten die Lid van de Verenigde Naties zijn, zelf, als onder de volkeren van gebieden, die onder hun jurisdictie staan:
human_rights_un_dut_mb_64kb_0011	Artikel 1
human_rights_un_dut_mb_64kb_0012	Alle mensen worden vrij en gelijk in waardigheid en rechten geboren.
human_rights_un_dut_mb_64kb_0013	Zij zijn begiftigd met verstand en geweten, en behoren zich jegens elkander in een geest van broederschap te gedragen.
human_rights_un_dut_mb_64kb_0014	Artikel 2
human_rights_un_dut_mb_64kb_0015	Een ieder heeft aanspraak op alle rechten en vrijheden, in deze Verklaring opgesomd, zonder enig onderscheid van welke aard ook, zoals ras, kleur, geslacht, taal, godsdienst, politieke of andere overtuiging, nationale of maatschappelijke afkomst, eigendom, geboorte of andere status.
human_rights_un_dut_mb_64kb_0016	Verder zal geen onderscheid worden gemaakt naar de politieke, juridische of internationale status van het land of gebied, waartoe iemand behoort, onverschillig of het een onafhankelijk, trust-, of niet-zelfbesturend gebied betreft, dan wel of er een andere beperking van de soevereiniteit bestaat.
human_rights_un_dut_mb_64kb_0017	Artikel 3
human_rights_un_dut_mb_64kb_0018	Een ieder heeft het recht op leven, vrijheid en onschendbaarheid van zijn persoon.
human_rights_un_dut_mb_64kb_0019	Artikel 4
human_rights_un_dut_mb_64kb_0020	Niemand zal in slavernij of horigheid gehouden worden.
human_rights_un_dut_mb_64kb_0021	Slavernij en slavenhandel in iedere vorm zijn verboden.
human_rights_un_dut_mb_64kb_0022	Artikel 5
human_rights_un_dut_mb_64kb_0023	Niemand zal onderworpen worden aan folteringen, noch aan een wrede, onmenselijke of onterende behandeling of bestraffing.
human_rights_un_dut_mb_64kb_0024	Artikel 6
human_rights_un_dut_mb_64kb_0025	Een ieder heeft, waar hij zich ook bevindt, het recht als persoon erkend te worden voor de wet.
human_rights_un_dut_mb_64kb_0026	Artikel 7
human_rights_un_dut_mb_64kb_0027	Allen zijn gelijk voor de wet en hebben zonder onderscheid aanspraak op gelijke bescherming door de wet.
human_rights_un_dut_mb_64kb_0028	Allen hebben aanspraak op gelijke bescherming tegen iedere achterstelling in strijd met deze Verklaring en tegen iedere ophitsing tot een dergelijke achterstelling.
human_rights_un_dut_mb_64kb_0029	Artikel 8
human_rights_un_dut_mb_64kb_0030	Een ieder heeft recht op daadwerkelijke rechtshulp van bevoegde nationale rechterlijke instanties tegen handelingen, welke in strijd zijn met de grondrechten hem toegekend bij Grondwet of wet.
human_rights_un_dut_mb_64kb_0031	Artikel 9
human_rights_un_dut_mb_64kb_0032	Niemand zal onderworpen worden aan willekeurige arrestatie, detentie of verbanning.
human_rights_un_dut_mb_64kb_0033	Artikel 10
human_rights_un_dut_mb_64kb_0034	Een ieder heeft, in volle gelijkheid, recht op een eerlijke en openbare behandeling van zijn zaak door een onafhankelijke en onpartijdige rechterlijke instantie bij het vaststellen van zijn rechten en verplichtingen en bij het bepalen van de gegrondheid van een tegen hem ingestelde strafvervolging.
human_rights_un_dut_mb_64kb_0035	Artikel 11
human_rights_un_dut_mb_64kb_0036	Een ieder, die wegens een strafbaar feit wordt vervolgd, heeft er recht op voor onschuldig gehouden te worden, totdat zijn schuld krachtens de wet bewezen wordt in een openbare rechtszitting, waarbij hem alle waarborgen, nodig voor zijn verdediging, zijn toegekend.
human_rights_un_dut_mb_64kb_0037	Niemand zal voor schuldig gehouden worden aan enig strafrechtelijk vergrijp op grond van enige handeling of enig verzuim, welke naar nationaal of internationaal recht geen strafrechtelijk vergrijp betekenden op het tijdstip, waarop de handeling of het verzuim begaan werd.
human_rights_un_dut_mb_64kb_0038	Evenmin zal een zwaardere straf worden opgelegd dan die, welke ten tijde van het begaan van het strafbare feit van toepassing was.
human_rights_un_dut_mb_64kb_0039	Artikel 12
human_rights_un_dut_mb_64kb_0040	Niemand zal onderworpen worden aan willekeurige inmenging in zijn persoonlijke aangelegenheden, in zijn gezin, zijn tehuis of zijn briefwisseling, noch aan enige aantasting van zijn eer of goede naam.
human_rights_un_dut_mb_64kb_0041	Tegen een dergelijke inmenging of aantasting heeft een ieder recht op bescherming door de wet.
human_rights_un_dut_mb_64kb_0042	Artikel 13
human_rights_un_dut_mb_64kb_0043	Een ieder heeft het recht zich vrijelijk te verplaatsen en te vertoeven binnen de grenzen van elke Staat.
human_rights_un_dut_mb_64kb_0044	Een ieder heeft het recht welk land ook, met inbegrip van het zijne, te verlaten en naar zijn land terug te keren.
human_rights_un_dut_mb_64kb_0045	Artikel 14
human_rights_un_dut_mb_64kb_0046	Een ieder heeft het recht om in andere landen asiel te zoeken en te genieten tegen vervolging.
human_rights_un_dut_mb_64kb_0047	Op dit recht kan geen beroep worden gedaan ingeval van strafvervolgingen wegens misdrijven van niet-politieke aard of handelingen in strijd met de doeleinden en beginselen van de Verenigde Naties.
human_rights_un_dut_mb_64kb_0048	Artikel 15
human_rights_un_dut_mb_64kb_0049	Een ieder heeft het recht op een nationaliteit.
human_rights_un_dut_mb_64kb_0050	Aan niemand mag willekeurig zijn nationaliteit worden ontnomen, noch het recht worden ontzegd om van nationaliteit te veranderen.
human_rights_un_dut_mb_64kb_0051	Artikel 16
human_rights_un_dut_mb_64kb_0052	Zonder enige beperking op grond van ras, nationaliteit of godsdienst, hebben mannen en vrouwen van huwbare leeftijd het recht om te huwen en een gezin te stichten.
human_rights_un_dut_mb_64kb_0053	Zij hebben gelijke rechten wat het huwelijk betreft, tijdens het huwelijk en bij de ontbinding ervan.
human_rights_un_dut_mb_64kb_0054	Een huwelijk kan slechts worden gesloten met de vrije en volledige toestemming van de aanstaande echtgenoten.
human_rights_un_dut_mb_64kb_0055	Het gezin is de natuurlijke en fundamentele groepseenheid van de maatschappij en heeft recht op bescherming door de maatschappij en de Staat.
human_rights_un_dut_mb_64kb_0056	Artikel 17
human_rights_un_dut_mb_64kb_0057	Een ieder heeft recht op eigendom, hetzij alleen, hetzij tezamen met anderen.
human_rights_un_dut_mb_64kb_0058	Niemand mag willekeurig van zijn eigendom worden beroofd.
human_rights_un_dut_mb_64kb_0059	Artikel 18
human_rights_un_dut_mb_64kb_0060	Een ieder heeft recht op vrijheid van gedachte, geweten en godsdienst;
human_rights_un_dut_mb_64kb_0061	dit recht omvat tevens de vrijheid om van godsdienst of overtuiging te veranderen, alsmede de vrijheid hetzij alleen, hetzij met anderen zowel in het openbaar als in zijn particuliere leven zijn godsdienst of overtuiging te belijden door het onderwijzen ervan, door de praktische toepassing, door eredienst en de inachtneming van de geboden en voorschriften.
human_rights_un_dut_mb_64kb_0062	Artikel 19
human_rights_un_dut_mb_64kb_0063	Een ieder heeft recht op vrijheid van mening en meningsuiting.
human_rights_un_dut_mb_64kb_0064	Dit recht omvat de vrijheid om zonder inmenging een mening te koesteren en om door alle middelen en ongeacht grenzen inlichtingen en denkbeelden op te sporen, te ontvangen en door te geven.
human_rights_un_dut_mb_64kb_0065	Artikel 20
human_rights_un_dut_mb_64kb_0066	Een ieder heeft recht op vrijheid van vreedzame vereniging en vergadering.
human_rights_un_dut_mb_64kb_0067	Niemand mag worden gedwongen om tot een vereniging te behoren.
human_rights_un_dut_mb_64kb_0068	Artikel 21
human_rights_un_dut_mb_64kb_0069	Een ieder heeft het recht om deel te nemen aan het bestuur van zijn land, rechtstreeks of door middel van vrij gekozen vertegenwoordigers.
human_rights_un_dut_mb_64kb_0070	Een ieder heeft het recht om op voet van gelijkheid te worden toegelaten tot de overheidsdiensten van zijn land.
human_rights_un_dut_mb_64kb_0071	De wil van het volk zal de grondslag zijn van het gezag van de Regering;
human_rights_un_dut_mb_64kb_0072	deze wil zal tot uiting komen in periodieke en eerlijke verkiezingen, die gehouden zullen worden krachtens algemeen en gelijkwaardig kiesrecht en bij geheime stemmingen of volgens een procedure, die evenzeer de vrijheid van de stemmen verzekert.
human_rights_un_dut_mb_64kb_0073	Artikel 22
human_rights_un_dut_mb_64kb_0074	Een ieder heeft als lid van de gemeenschap recht op maatschappelijke zekerheid en heeft er aanspraak op, dat door middel van nationale inspanning en internationale samenwerking, en overeenkomstig de organisatie en de hulpbronnen van de betreffende Staat, de economische, sociale en culturele rechten, die onmisbaar zijn voor zijn waardigheid en voor de vrije ontplooiing van zijn persoonlijkheid, verwezenlijkt worden.
human_rights_un_dut_mb_64kb_0075	Artikel 23
human_rights_un_dut_mb_64kb_0076	Een ieder heeft recht op arbeid, op vrije keuze van beroep, op rechtmatige en gunstige arbeidsvoorwaarden en op bescherming tegen werkloosheid.
human_rights_un_dut_mb_64kb_0077	Een ieder, zonder enige achterstelling, heeft recht op gelijk loon voor gelijke arbeid.
human_rights_un_dut_mb_64kb_0078	Een ieder, die arbeid verricht, heeft recht op een rechtvaardige en gunstige beloning, welke hem en zijn gezin een menswaardig bestaan verzekert, welke beloning zo nodig met andere middelen van sociale bescherming zal worden aangevuld.
human_rights_un_dut_mb_64kb_0079	Een ieder heeft het recht om vakverenigingen op te richten en zich daarbij aan te sluiten ter bescherming van zijn belangen.
human_rights_un_dut_mb_64kb_0080	Artikel 24
human_rights_un_dut_mb_64kb_0081	Een ieder heeft recht op rust en op eigen vrije tijd, met inbegrip van een redelijke beperking van de arbeidstijd, en op periodieke vakanties met behoud van loon.
human_rights_un_dut_mb_64kb_0082	Artikel 25
human_rights_un_dut_mb_64kb_0083	Een ieder heeft recht op een levensstandaard, die hoog genoeg is voor de gezondheid en het welzijn van zichzelf en zijn gezin, waaronder inbegrepen voeding, kleding, huisvesting en geneeskundige verzorging en de noodzakelijke sociale diensten, alsmede het recht op voorziening in geval van werkloosheid, ziekte, invaliditeit, overlijden van de echtgenoot, ouderdom of een ander gemis aan bestaansmiddelen, ontstaan ten gevolge van omstandigheden onafhankelijk van zijn wil.
human_rights_un_dut_mb_64kb_0084	Moeder en kind hebben recht op bijzondere zorg en bijstand.
human_rights_un_dut_mb_64kb_0085	Alle kinderen, al dan niet wettig, zullen dezelfde sociale bescherming genieten.
human_rights_un_dut_mb_64kb_0086	Artikel 26
