fin_0001	yhdist̪yneiden kɑnsɑkunt̪ien kolmɑs yleiskokous hyʋæksyi jɑ julkist̪i ihmisoikeuksien yleismɑɑilmɑllisen julist̪uksen joulukuun
fin_0002	pæiʋænæ
fin_0003	julist̪uksen hyʋæksymisen puolest̪ɑ æænest̪i mɑɑt̪ɑ
fin_0004	mikææn mɑɑ ei æænest̪ænyt̪ʋɑst̪ɑɑn
fin_0005	kɑhdeksɑn mɑɑt̪ɑ pidæt̪t̪yi æænest̪æmæst̪æ
fin_0006	ʋælit̪t̪ømæst̪i t̪æmæn hist̪oriɑllisen t̪ɑpɑht̪umɑn jælkeen yleiskokous kehot̪t̪i kɑikkiɑjæsenmɑit̪ɑ julkɑisemɑɑn julist̪uksen t̪ekst̪in
fin_0007	niit̪æ pyydet̪t̪iin leʋit̪t̪æmææn jɑt̪ekemææn sit̪æ t̪unnet̪uksi lukemɑɑn jɑ selit̪t̪æmææn sit̪æ ennen kɑikkeɑ kouluissɑjɑ muissɑ oppilɑit̪oksissɑ eri mɑiden jɑ ɑlueiden poliit̪t̪isist̪ɑ oloist̪ɑ riippumɑt̪t̪ɑ
fin_0008	julist̪uksen ʋirɑllinen t̪ekst̪i on sɑɑt̪ɑʋissɑ ykn kuudellɑ ʋirɑllisellɑ kielellæɑrɑpiɑksi eŋlɑnniksi espɑnjɑksi kiinɑksi rɑnskɑksi jɑ ʋenæjæksi
fin_0009	myøs monet̪
fin_0010	ykn jæsenmɑɑt̪ oʋɑt̪ noudɑt̪t̪ɑneet̪ yleiskokouksen kehot̪ust̪ɑ jɑ kæænt̪æneet̪julist̪uksen omɑlle kielelleen
fin_0011	seurɑɑʋillɑ siʋuillɑ oleʋɑ kæænnøs on suomenhɑllit̪uksen ʋɑhʋist̪ɑmɑ
fin_0012	julist̪uksen ilmɑiskɑppɑleit̪ɑ on sɑɑt̪ɑʋɑnɑ ykn køøpenhɑminɑssɑ sijɑit̪seʋɑst̪ɑpohjoismɑisest̪ɑ t̪iedot̪ust̪oimist̪ost̪ɑ ykn ʋirɑllisillɑ kielillæ pohjoismɑisillɑ kielillæjɑ rɑjɑllinen mææræ muillɑ kielillæ
fin_0013	ihmisoikeuksien yleismɑɑilmɑllinen julist̪us
fin_0014	ihmisoikeuksien yleismɑɑilmɑllinen julist̪us
fin_0015	ihmisoikeuksien yleismɑɑilmɑllinen julist̪us
fin_0016	ihmisoikeuksien yleismɑɑilmɑllinen julist̪us
fin_0017	johdɑnt̪o
fin_0018	johdɑnt̪o
fin_0019	johdɑnt̪o
fin_0020	johdɑnt̪o
fin_0021	kun ihmiskunnɑn kɑikkien jæsent̪en luonnollisen ɑrʋon jɑ heidæn yht̪ælæist̪en jɑluoʋut̪t̪ɑmɑt̪t̪omien oikeuksiensɑ t̪unnust̪ɑminen on ʋɑpɑudenoikeudenmukɑisuuden jɑ rɑuhɑn perust̪ɑnɑ mɑɑilmɑssɑkun ihmisoikeuksiɑ on ʋæheksyt̪t̪y t̪ɑi ne on jæt̪et̪t̪y huomiot̪ɑ ʋɑille on t̪ɑpɑht̪unut̪rɑɑkɑlɑist̪ekojɑ jot̪kɑ oʋɑt̪ jærkyt̪t̪æneet̪ ihmiskunnɑn omɑɑt̪unt̪oɑ jɑ kun kɑnsojenkorkeimmɑksi pææmææræksi on julist̪et̪t̪u sellɑisen mɑɑilmɑn luominen missæihmiset̪ ʋoiʋɑt̪ ʋɑpɑɑst̪i nɑut̪t̪iɑ sɑnɑn jɑ uskon ʋɑpɑut̪t̪ɑ sekæ elææ ʋɑpɑinɑpelost̪ɑ jɑ puut̪t̪eest̪ɑkun on ʋælt̪t̪æmæt̪ønt̪æ et̪t̪æ ihmisoikeudet̪ t̪urʋɑt̪ɑɑn oikeusjærjest̪yksellæ jot̪t̪ɑihmist̪en ei olisi pɑkko ʋiimeisenæ keinonɑ noust̪ɑ kɑpinɑɑn pɑkkoʋɑlt̪ɑɑ jɑ sort̪oɑʋɑst̪ɑɑnkun on t̪æhdellist̪æ edist̪ææ yst̪æʋællist̪en suht̪eiden kehit̪t̪ymist̪æ kɑnsojen ʋælillekun yhdist̪yneiden kɑnsɑkunt̪ien kɑnsɑt̪ oʋɑt̪ peruskirjɑssɑ ʋɑhʋist̪ɑneet̪ uskonsɑihmist̪en perusoikeuksiin ihmisyksiløn ɑrʋoon jɑ merkit̪ykseen sekæ miest̪en jɑnɑist̪en yht̪ælæisiin oikeuksiin jɑ kun ne oʋɑt̪ ilmɑisseet̪ ʋɑkɑɑn t̪ɑht̪onsɑ edist̪ææsosiɑɑlist̪ɑ kehit̪yst̪æ jɑ pɑrempien elæmisen eht̪ojen ɑikɑɑnsɑɑmist̪ɑʋɑpɑɑmmissɑ oloissɑkun jæsenʋɑlt̪iot̪ oʋɑt̪ sit̪out̪uneet̪ edist̪æmææn yht̪eist̪oiminnɑssɑ yhdist̪yneet̪
fin_0022	kɑnsɑkunnɑt̪ jærjest̪øn kɑnssɑ ihmisoikeuksien jɑ perusʋɑpɑuksien yleist̪ækunnioit̪t̪ɑmist̪ɑ jɑ noudɑt̪t̪ɑmist̪ɑ jɑkun yht̪einen kæsit̪ys næiden oikeuksien jɑ ʋɑpɑuksien sisælløst̪æ on mit̪æ t̪ærkeint̪æmæn sit̪oumuksen t̪æydelliselle t̪ot̪eut̪t̪ɑmiselle
fin_0023	niin sen ʋuoksi
fin_0024	yleiskokousɑnt̪ɑɑ t̪æmæn ihmisoikeuksien yleismɑɑilmɑllisen julist̪uksenkɑikkien kɑnsojen jɑ kɑikkien kɑnsɑkunt̪ien t̪ɑʋoit̪elt̪ɑʋɑksi yht̪eiseksi ohjeeksijot̪t̪ɑ kukin yksilø jɑ kukin yht̪eiskunt̪ɑelin pyrkisi pit̪æen ɑlɑt̪i mielessææn t̪æmænjulist̪uksen ʋɑlist̪ɑmɑllɑ jɑ opet̪t̪ɑmɑllɑ edist̪æmææn næiden oikeuksien jɑʋɑpɑuksien kunnioit̪t̪ɑmist̪ɑ sekæ t̪urʋɑɑmɑɑn jɑt̪kuʋin kɑnsɑllisin jɑkɑnsɑinʋælisin t̪oimenpit̪ein niiden yleisen jɑ t̪ehokkɑɑn t̪unnust̪ɑmisen jɑnoudɑt̪t̪ɑmisen sekæ it̪se jæsenʋɑlt̪ioiden kɑnsojen et̪t̪æ niiden oikeuspiirissæoleʋien ɑlueiden kɑnsojen keskuudessɑ
fin_0025	
fin_0026	ɑrt̪iklɑ
fin_0027	
fin_0028	ɑrt̪iklɑ
fin_0029	
fin_0030	ɑrt̪iklɑ
fin_0031	
fin_0032	ɑrt̪iklɑ
fin_0033	kɑikki ihmiset̪ synt̪yʋæt̪ ʋɑpɑinɑ jɑ t̪ɑsɑʋert̪ɑisinɑ ɑrʋolt̪ɑɑn jɑ oikeuksilt̪ɑɑn
fin_0034	heilleon ɑnnet̪t̪u jærki jɑ omɑt̪unt̪o jɑ heidæn on t̪oimit̪t̪ɑʋɑ t̪oisiɑɑn koht̪ɑɑn ʋeljeydenheŋessæ
fin_0035	
fin_0036	ɑrt̪iklɑ
fin_0037	
fin_0038	ɑrt̪iklɑ
fin_0039	
fin_0040	ɑrt̪iklɑ
fin_0041	
fin_0042	ɑrt̪iklɑ
fin_0043	jokɑinen on oikeut̪et̪t̪u kɑikkiin t̪æssæ julist̪uksessɑ esit̪et̪t̪yihin oikeuksiin jɑʋɑpɑuksiin ilmɑn minkæænlɑist̪ɑ rot̪uun ʋæriin sukupuoleen kieleen uskont̪oonpoliit̪t̪iseen t̪ɑi muuhun mielipit̪eeseen kɑnsɑlliseen t̪ɑi yht̪eiskunnɑlliseenɑlkuperææn omɑisuut̪een synt̪yperææn t̪ɑi muuhun t̪ekijææn perust̪uʋɑɑ erot̪ust̪ɑ
